S.NO,TITLE,TEXT,LINK,LABEL
11,Pradhan Mantri Awas Yojana (Urban),"A flagship mission implemented by MoHUA, addressing urban housing shortage. The beneficiaries include Economically Weaker Section (EWS) / Low Income Group (LIG) and Middle Income Group (MIG) categories, including slum dwellers, by ensuring a pucca house to all eligible urban households by 2022. All eligible beneficiaries under all components of the scheme should have an Aadhaar/ Aadhaar Virtual ID. The Mission, as per Census 2011, covers the entire urban area consisting of Statutory Towns, Notified Planning Areas, Development Authorities, Special Area Development Authorities, Industrial Development Authorities or any such authority under State legislation which is entrusted with the functions of urban planning & regulations.",https://www.myscheme.gov.in/schemes/pmay-u,TRUE
12,Pradhan Mantri Gram Sadak Yojana (PMGSY),"The Pradhan Mantri Gram Sadak Yojana (PMGSY), was launched by the Govt. of India to provide connectivity to unconnected Habitations as part of a poverty reduction strategy. Govt. of India is endeavoring to set high and uniform technical and management standards and facilitating policy development and planning at State level in order to ensure sustainable management of the rural roads network.The Pradhan Mantri Gram Sadak Yojana (PMGSY), was launched by the Govt. of India to provide connectivity to unconnected Habitations as part of a poverty reduction strategy. Govt. of India is endeavoring to set high and uniform technical and management standards and facilitating policy development and planning at State level in order to ensure sustainable management of the rural roads network.

According to latest figures made available by the State Governments under a survey to identify Core Network as part of the PMGSY programme, about 1.67 lakh Unconnected Habitations are eligible for coverage under the programme. This involves construction of about 3.71 lakh km. of roads for New Connectivity and 3.68 lakh km. under upgradation",https://omms.nic.in/,FALSE
13,National Social Assistance Programme (NSAP),"Central Government introduced NSAP on 15th August 1995 consisting of National Old Age Pension Scheme (NOAPS), National Family Benefit Scheme (NFBS) and National Maternity Benefit Scheme (NMBS) with the mandate of ensuring minimum national standards for social assistance. The objective was to alleviate chronic poverty and destitution through regular cash transfer in the form of pension. NSAP was transferred to State Plan w.e.f. 2002-03, and funds were released as Additional Central Assistance (ACA) to States/UTs. The National Maternity Benefit Scheme was transferred to the Ministry of Health and Family Welfare in 2001-2002. In the year 2007, the eligibility criteria of “destitution” was replaced by BPL and National Old Age Pension Scheme renamed as Indira Gandhi National Old Age Pension Scheme(IGNOAPS) and rate of assistance increased from Rs.75/- to Rs.200/-. In the year 2009, two new pension schemes, viz., Indira Gandhi National Widow Pension Scheme (IGNWPS) and Indira Gandhi National Disability Pension Scheme (IGNDPS) were introduced for widows and disabled persons respectively. In the year 2011, the rate of assistance under IGNOAPS was increased to Rs.500/- for persons of 80 years or more. In the year 2012, the rate of assistance under IGNWPS and IGNDPS was increased to Rs.300/- from Rs.200/- for the widows in the age of 40-79 years and disabled persons (multiple or severe disability) in the age group of 18-79 years. The rate of assistance under NFBS was also increased from Rs.10000/- to Rs.20000/- (one time assistance) during the same year. With effect from 1st April 2014, NSAP was again converted into a Central Scheme and, thereafter, it was declared as ‘core of the core’ scheme by NITI Aayog in August 2017. The States/UTs have been requested to contribute at least an equal contribution.",https://rural.nic.in/sites/default/files/NSAP_Suo_moto_disclosure_for_RTI_01112021_0.pdf,TRUE
14,Unnat Jeevan by Affordable LEDs and Appliances for All (UJALA),"The Government of India introduced the Unnat Jeevan by Affordable LEDs and Appliances for All Scheme in 2015. This scheme is implemented by the Energy EThe Government of India introduced the Unnat Jeevan by Affordable LEDs and Appliances for All Scheme in 2015. This scheme is implemented by the Energy Efficiency Services Limited, a joint venture of four Public Sector Undertakings under the Ministry of Power. This scheme enables the price-sensitive customers to buy LEDs at affordable rates.

This scheme aims to promote every household to have LED-powered appliances. This scheme is of utmost importance to enable the country’s broad base of price-sensitive customers to purchase LEDs at affordable rates. Every domestic household in the country can obtain the benefits under this scheme if they have a metered connection from their respective Electricity Distribution Company.fficiency Services Limited, a joint venture of four Public Sector Undertakings under the Ministry of Power. This scheme enables the price-sensitive customers to buy LEDs at affordable rates.",https://cleartax.in/s/government-schemes-individuals,TRUE
15,What is a Government Health Insurance Scheme?,"Ayushman Bharat is a universal health insurance scheme of the Ministry of Health and Family Welfare, Government of India. PMJAY was launched to provide free healthcare services to more than 40% population of the country. The scheme offers a health cover of Rs 5 Lakh. In this scheme, it covers medicines, diagnostic expenses, medical treatment, and pre-hospitalization costs. The poorest families of India can benefit from this healthcare scheme.Pradhan Mantri Suraksha Bima Yojana aims to provide accident insurance cover to the people of India. People in the age group of 18 years to 70 years who have an account in a bank can avail benefit from this scheme.This policy provides an annual cover of Rs 2 lakh for total disability and death cover and Rs 1 lakh for partial disability. The policy premium gets automatically debited from the policyholder’s bank account.This is one of the latest National Health Insurance schemes having been established in the year 2007, October. It basically covers individuals from the age of 18 years-59 years.  AABY insurance scheme is tailored for all those citizens living in the upcountry and in the rural areas.It also covers the landless citizens who are tenants living both in urban and rural areas. It also includes giving scholarships to underprivileged children.Basically, the head of the family or the earning member is the one protected by this scheme. The premium of 200 rupees per annum is shared equally by the state and the central government. Upon a natural death, the family is compensated at 30000 rupees. However, upon death caused by a permanent disability, the family is compensated at 75,000 rupees",https://www.policybazaar.com/health-insurance/govt-scheme/,FALSE
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
